"story_id","feature_area","feature","source_refs","user_story","expected_behavior","feature_status","test_status","test_evidence","last_verified_utc","observed_errors","fix_status","retest_status","notes"
"CLI-010","CLI monitoring","Show dataflow or node logs","README.md; binaries/cli/src/command/logs.rs; docs/logging.md; tests/ws-cli-e2e.rs","As an operator, I want to view dataflow and node logs so I can diagnose runtime failures.","`dora logs` resolves the target dataflow, supports node filtering and all-node modes, and prints logs without conflicting positional and flag targets.","tested-pass","passed","`timeout 90s ../../target/debug/dora run dataflow.yml --stop-after 3s` passed from `examples/rust-dataflow`; `../../target/debug/dora logs --local --node rust-node --tail 5` then passed and printed recent rust-node log lines.","2026-06-25","The short run emitted a clean-teardown Zenoh session-closed log line in rust-node logs; log retrieval itself succeeded.","none","passed",""
"CLI-011","CLI monitoring","Resource monitor top","README.md; binaries/cli/src/command/inspect/top.rs; docs/debugging.md","As an operator, I want `dora top` and `dora inspect top` to show live resource usage so I can monitor CPU, memory, queues, and node health.","The command displays a TUI by default and supports one-shot output for scriptable monitoring; it reports unavailable metrics gracefully.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh topic-and-top-smoke` passed with escalation; the helper asserts `dora top --once` produces a JSON array before starting the debug fixture.","2026-06-25","Requires real local services, sockets, Python venv setup, and the update-check metadata path, so the smoke was run outside the sandbox.","none","passed",""
"CLI-012","CLI topics","List topics","README.md; binaries/cli/src/command/topic/list.rs; docs/websocket-topic-data-channel.md","As a developer, I want to list topics in a running dataflow so I can discover available outputs for inspection.","`dora topic list` requires debug inspection where needed, resolves the dataflow, and prints available topic selectors.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh topic-and-top-smoke` passed with escalation; the helper starts `tests/fixtures/zenoh-debug-dataflow.yml` and asserts `dora topic list -d tui-smoke --format json` emits NDJSON containing `ticker/count`.","2026-06-25","Requires real local services, sockets, Python venv setup, and the update-check metadata path, so the smoke was run outside the sandbox.","none","passed",""
"CLI-013","CLI topics","Echo topic messages","README.md; binaries/cli/src/command/topic/echo.rs; tests/ws-cli-e2e.rs","As a developer, I want to echo live topic messages so I can inspect data emitted by nodes.","`dora topic echo` subscribes over the topic data channel, prints received payloads, and handles binary frames arriving immediately after subscribe acknowledgement.","tested-pass","passed","`cargo test --test ws-cli-e2e cli_topic_subscription_receives_binary_frames_immediately_after_subscribe_ack -- --test-threads=1` passed with escalation; it verifies the topic data channel delivers a binary frame immediately after subscribe acknowledgement without losing it.","2026-06-25","Sandbox run failed because the mock topic WebSocket server could not bind a local socket; escalated rerun passed.","none","passed",""
"CLI-014","CLI topics","Measure topic frequency","README.md; binaries/cli/src/command/topic/hz.rs; docs/debugging.md","As a developer, I want to measure topic frequency so I can verify real-time rates.","`dora topic hz` subscribes to the selected topic, computes message frequency, and presents TUI or scriptable output without crashing on no messages.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh topic-and-top-smoke` passed with escalation; the helper asserts `dora topic hz -d tui-smoke ticker/count --duration 3` receives at least 10 samples from the 10Hz fixture.","2026-06-25","Requires real local services, sockets, Python venv setup, and the update-check metadata path, so the smoke was run outside the sandbox.","none","passed",""
"CLI-015","CLI topics","Show topic metadata","README.md; binaries/cli/src/command/topic/info.rs; docs/types.md","As a developer, I want topic metadata and schema information so I can validate connections and data types.","`dora topic info` resolves the topic and reports type, source, and metadata where available.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh topic-and-top-smoke` passed with escalation; the helper asserts `dora topic info -d tui-smoke ticker/count --duration 3` contains `ticker/count` and reports at least 10 total messages.","2026-06-25","Requires real local services, sockets, Python venv setup, and the update-check metadata path, so the smoke was run outside the sandbox.","none","passed",""
"CLI-016","CLI topics","Publish topic data","README.md; binaries/cli/src/command/topic/pub_.rs; binaries/cli/src/command/mod.rs","As a developer, I want to publish JSON or file data to a topic so I can manually stimulate a running dataflow.","`dora topic pub` requires either inline JSON data or `--file`, parses JSON, targets a dataflow, and reports publish errors clearly.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh topic-and-top-smoke` passed with escalation; the helper asserts `dora topic pub -d tui-smoke ticker/count '42' --count 3` prints `Published message 3/3`.","2026-06-25","Requires real local services, sockets, Python venv setup, and the update-check metadata path, so the smoke was run outside the sandbox.","none","passed",""
"CLI-017","CLI node control","List nodes","README.md; binaries/cli/src/command/node/list.rs; tests/ws-cli-e2e.rs","As an operator, I want to list nodes in a running dataflow so I can see status and resource metrics per node.","`dora node list` resolves the dataflow and lists nodes with status, PID, CPU, memory, and restart count where metrics are available.","tested-pass","passed","`cargo test --test ws-cli-e2e real_dataflow::e2e_node_ -- --test-threads=1` passed 4 tests with escalation; `e2e_node_list_shows_running_nodes` starts a real dataflow and verifies `dora node list --dataflow <ID>` shows all expected nodes.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed",""
"CLI-018","CLI node control","Show node info","README.md; binaries/cli/src/command/node/info.rs; tests/ws-cli-e2e.rs","As an operator, I want detailed node info so I can inspect inputs, outputs, and metrics for one node.","`dora node info <NODE>` reports descriptor details and runtime metrics for the resolved node and errors when the node is missing.","tested-pass","passed","`cargo test --test ws-cli-e2e real_dataflow::e2e_node_ -- --test-threads=1` passed 4 tests with escalation; `e2e_node_info_returns_descriptor` verifies `dora node info rust-node --dataflow <ID>` includes descriptor input/output details.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed",""
"CLI-019","CLI dynamic topology","Add node to running dataflow","README.md; binaries/cli/src/command/node/add.rs; tests/node-lifecycle-e2e.rs","As an operator, I want to add a node from YAML to a running dataflow so I can extend topology without restart.","`dora node add --from-yaml <FILE>` validates the node descriptor, sends an add request, and reports spawn or wiring errors.","tested-pass","passed","`cargo test --test node-lifecycle-e2e lifecycle_rust_dynamic_add_remove -- --test-threads=1` passed with escalation; the test runs `dora node add --from-yaml filter-node.yml` against a live Rust dataflow and waits for the added filter node to reach Running.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed","Python and C++ lifecycle variants were not rerun in this pass."
"CLI-020","CLI dynamic topology","Remove node from running dataflow","README.md; binaries/cli/src/command/node/remove.rs; tests/node-lifecycle-e2e.rs","As an operator, I want to remove a node from a running dataflow so I can shrink topology without full restart.","`dora node remove <NODE>` stops and removes the node from coordinator state, updating dependent topology safely or returning an actionable error.","tested-pass","passed","`cargo test --test node-lifecycle-e2e lifecycle_rust_dynamic_add_remove -- --test-threads=1` passed with escalation; the test removes the dynamically added filter node and verifies it disappears or transitions to Stopped.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed","Python and C++ lifecycle variants were not rerun in this pass."
"CLI-021","CLI dynamic topology","Connect running nodes","README.md; binaries/cli/src/command/node/connect.rs; tests/node-lifecycle-e2e.rs","As an operator, I want to connect an output to an input in a running dataflow so new live mappings can be created.","`dora node connect <SRC> <DST>` validates selectors, updates routing, and fails clearly on unknown nodes, outputs, or inputs.","tested-pass","passed","`cargo test --test node-lifecycle-e2e lifecycle_rust_dynamic_add_remove -- --test-threads=1` passed with escalation; the test connects `sender/value -> filter/input` and `filter/output -> receiver/filtered` and asserts the success lines.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed","Python and C++ lifecycle variants were not rerun in this pass."
"CLI-022","CLI dynamic topology","Disconnect running nodes","README.md; binaries/cli/src/command/node/disconnect.rs; tests/node-lifecycle-e2e.rs","As an operator, I want to disconnect a live mapping so I can remove a route without restarting the dataflow.","`dora node disconnect <SRC> <DST>` removes the mapping and reports missing mapping or target errors without corrupting remaining routes.","tested-pass","passed","`cargo test --test node-lifecycle-e2e lifecycle_rust_dynamic_add_remove -- --test-threads=1` passed with escalation; the test disconnects `filter/output -x- receiver/filtered` and verifies a duplicate disconnect errors with `not found`.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed","Python and C++ lifecycle variants were not rerun in this pass."
"CLI-023","CLI node control","Restart one node","README.md; binaries/cli/src/command/node/restart.rs; tests/ws-cli-e2e.rs","As an operator, I want to restart one node so I can recover a component without restarting the whole dataflow.","`dora node restart <NODE>` resolves the dataflow, applies the optional grace duration, respawns the node, and reports restart progress or target errors.","tested-pass","passed","`cargo test --test ws-cli-e2e real_dataflow::e2e_node_ -- --test-threads=1` passed 4 tests with escalation; `e2e_node_restart_increments_counter` verifies restart command success and restart confirmation for a real node.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed",""
"CLI-024","CLI node control","Stop one node","README.md; binaries/cli/src/command/node/stop.rs; tests/ws-cli-e2e.rs","As an operator, I want to stop one node so I can intentionally pause or terminate a component.","`dora node stop <NODE>` resolves the target, applies optional grace, reports a stopped confirmation, and leaves other nodes managed by the coordinator.","tested-pass","passed","`cargo test --test ws-cli-e2e real_dataflow::e2e_node_ -- --test-threads=1` passed 4 tests with escalation; `e2e_node_stop_exits_cleanly` verifies `dora node stop rust-sink --dataflow <ID>` succeeds and prints a stop confirmation.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the test was run outside the sandbox.","none","passed",""
"CLI-025","CLI parameters","List runtime parameters","README.md; binaries/cli/src/command/param/list.rs; tests/ws-cli-e2e.rs","As an operator, I want to list a node's runtime parameters so I can inspect current tunables.","`dora param list <NODE>` returns all stored parameters for the node in table or JSON format and errors on unknown targets.","tested-pass","passed","`cargo test --test ws-cli-e2e param_cli -- --test-threads=1` passed with escalation; `cli_param_crud_via_subprocess` verifies `dora param list sensor -d <ID>` prints `rate = 100` and `--format json` emits parseable JSON with `rate: 100`.","2026-06-25","Sandbox run failed because the local coordinator WebSocket server could not bind a socket; escalated rerun passed.","none","passed",""
"CLI-026","CLI parameters","Get runtime parameter","README.md; binaries/cli/src/command/param/get.rs; tests/ws-cli-e2e.rs","As an operator, I want to get one runtime parameter value so I can confirm a setting.","`dora param get <NODE> <KEY>` prints the JSON value and exits non-zero if the key or target does not exist.","tested-pass","passed","`cargo test --test ws-cli-e2e param_cli -- --test-threads=1` passed with escalation; `cli_param_crud_via_subprocess` verifies `dora param get sensor rate -d <ID>` prints `100` and exits nonzero after the key is deleted.","2026-06-25","Sandbox run failed because the local coordinator WebSocket server could not bind a socket; escalated rerun passed.","none","passed",""
"CLI-027","CLI parameters","Set runtime parameter","README.md; binaries/cli/src/command/param/set.rs; tests/ws-cli-e2e.rs","As an operator, I want to set runtime parameters with JSON values so nodes can be tuned live.","`dora param set <NODE> <KEY> <VALUE>` parses VALUE as JSON, stores it through the control plane, confirms success, and rejects invalid JSON.","tested-pass","passed","`cargo test --test ws-cli-e2e param_cli -- --test-threads=1` passed with escalation; `cli_param_crud_via_subprocess` verifies `dora param set sensor rate 100 -d <ID>` succeeds with confirmation, and `cli_param_set_rejects_non_json_value` verifies bare `hello` is rejected with an invalid JSON error.","2026-06-25","Sandbox run failed because the local coordinator WebSocket server could not bind a socket; escalated rerun passed.","none","passed",""
"CLI-028","CLI parameters","Delete runtime parameter","README.md; binaries/cli/src/command/param/delete.rs; tests/ws-cli-e2e.rs","As an operator, I want to delete a runtime parameter so the node no longer sees that override.","`dora param delete <NODE> <KEY>` removes the key and confirms deletion; later get should fail for the removed key.","tested-pass","passed","`cargo test --test ws-cli-e2e param_cli -- --test-threads=1` passed with escalation; `cli_param_crud_via_subprocess` verifies `dora param delete sensor rate -d <ID>` prints a deletion confirmation and a later get exits nonzero.","2026-06-25","Sandbox run failed because the local coordinator WebSocket server could not bind a socket; escalated rerun passed.","none","passed",""
"CLI-029","CLI record/replay","Record dataflow messages","README.md; binaries/cli/src/command/record.rs; libraries/recording; tests/example-smoke.rs","As a developer, I want to record selected messages to a `.drec` file so I can reproduce runs offline.","`dora record <PATH>` starts a recorder node, can filter topics, can emit modified YAML, and writes a recording file compatible with replay.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh record-replay` passed with escalation; it recorded `rust-node/random` and `rust-status-node/status` from `examples/rust-dataflow/dataflow.yml`, produced a non-empty 63807-byte `run.drec`, and removed it after replay.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the smoke was run outside the sandbox.","none","passed",""
"CLI-030","CLI record/replay","Replay recorded messages","README.md; binaries/cli/src/command/replay.rs; binaries/replay-node; tests/example-smoke.rs","As a developer, I want to replay `.drec` recordings at controlled speed so regression tests can run offline.","`dora replay <FILE>` reads recording metadata, supports speed, loop, replacement nodes, and output YAML generation.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh record-replay` passed with escalation; after recording, it replayed the `.drec`, replaced `rust-node` and `rust-status-node`, and both replay nodes reported 100 replayed messages before the helper printed `PASS: record-replay`.","2026-06-25","Replay emitted a non-fatal type warning for `rust-status-node` after source-node replacement; the command completed successfully.","none","passed",""
"CLI-031","CLI tracing","List traces","README.md; binaries/cli/src/command/trace/list.rs; docs/debugging.md","As an operator, I want to list captured traces so I can choose a trace to inspect without external infrastructure.","`dora trace list` queries coordinator span storage and displays recent trace ids and summaries.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh topic-and-top-smoke` passed with escalation; the helper asserts `dora trace list` on an empty coordinator prints `No traces captured yet.`.","2026-06-25","Requires real local services, sockets, Python venv setup, and the update-check metadata path, so the smoke was run outside the sandbox.","none","passed",""
"CLI-032","CLI tracing","View trace","README.md; binaries/cli/src/command/trace/view.rs; docs/debugging.md","As an operator, I want to view one trace by id prefix so I can diagnose distributed lifecycle timing.","`dora trace view <ID>` resolves full or prefix ids, prints spans in a readable form, and reports ambiguous or missing ids clearly.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh topic-and-top-smoke` passed with escalation; the helper asserts absent UUID output (`No spans found for this trace.`) and non-zero unresolved-prefix output containing `no trace found matching prefix`.","2026-06-25","Requires real local services, sockets, Python venv setup, and the update-check metadata path, so the smoke was run outside the sandbox.","none","passed",""
"CLI-033","CLI diagnostics","Doctor diagnostics","README.md; binaries/cli/src/command/doctor.rs; docs/cli.md","As an operator, I want `dora doctor` to diagnose environment, connectivity, and optional dataflow health so I can fix setup issues.","`dora doctor` checks coordinator, daemon, descriptor, build tools, and runtime health, printing pass/warn/fail diagnostics.","tested-pass","passed","`./target/debug/dora up` passed with escalation; `./target/debug/dora doctor` then passed and printed PASS for CLI version, uv, coordinator reachability, daemon connection, connected machines, and dataflow counts; `./target/debug/dora down` cleaned up.","2026-06-25","Requires real local services, sockets, and Zenoh shared memory, so the commands were run outside the sandbox.","none","passed",""
"CLI-034","CLI diagnostics","Status health check","README.md; binaries/cli/src/command/system/status.rs; docs/cli-command-coverage.md","As an operator, I want `dora status` or `dora check` to report coordinator and daemon health in table or JSON form so scripts and humans can tell whether the system is ready.","`dora status` checks coordinator connectivity, daemon connectivity, optional descriptor validity, active running dataflows, emits table or JSON, and exits non-zero when health is not OK.","tested-pass","passed","`cargo test --test ws-cli-e2e clean_status_cli -- --test-threads=1` passed 6 tests; status-specific tests cover JSON output and non-zero exits for missing coordinator and missing daemon.","2026-06-25","Previous subprocess coverage gap documented in docs/cli-command-coverage.md.","test-coverage-added","passed","Healthy coordinator+daemon success path remains covered indirectly by `dora up`/doctor workflows; add a direct status-success test in a later pass if needed."
"CLI-035","CLI diagnostics","System status subcommand","README.md; binaries/cli/src/command/system/mod.rs; binaries/cli/src/command/system/status.rs; docs/cli-command-coverage.md","As an operator, I want `dora system status` to expose the same health check under the system command namespace so operational scripts have a grouped command.","`dora system status` accepts the same status options and produces the same health semantics as top-level `dora status`.","tested-pass","passed","`cargo test --test ws-cli-e2e clean_status_cli -- --test-threads=1` passed 6 tests; `cli_system_status_matches_top_level_status` asserts JSON parity with top-level status.","2026-06-25","Previous behavior gap documented in docs/cli-command-coverage.md.","test-coverage-added","passed","No production code change required."
"CLI-036","CLI setup","Generate new project or node","README.md; binaries/cli/src/command/new.rs; binaries/cli/src/template","As a new user, I want `dora new` to scaffold dataflows or nodes in supported languages so I can start quickly.","`dora new <NAME>` honors kind and language, creates expected files, and refuses unsafe or invalid paths without overwriting unintended files.","tested-pass","passed","`./target/debug/dora new codex_generated /private/tmp/dora-new-codex-20260625-2152` passed and generated a Rust dataflow with `Cargo.toml`, `dataflow.yml`, and three node crates; `./target/debug/dora new --kind node --lang python codex_py_node /private/tmp/dora-new-node-codex-20260625-2152` passed and generated Python package, README, pyproject, and tests.","2026-06-25","","none","passed","Generated files were inspected in `/private/tmp`; full template build/run remains covered by nightly `cli-tests` and was not rerun here."
"CLI-037","CLI setup","Visualize dataflow graph","README.md; binaries/cli/src/command/graph.rs; libraries/core/src/descriptor/visualize.rs","As a developer, I want a dataflow graph in Mermaid or HTML so I can understand topology visually.","`dora graph <PATH>` expands and validates a descriptor enough to render node and edge topology and writes the requested output format.","tested-pass","passed","`cargo run --quiet -p dora-cli -- graph examples/rust-dataflow/dataflow.yml --mermaid` passed and emitted Mermaid `flowchart TB` output containing `rust-node`, `rust-sink`, `rust-status-node`, timer nodes, and their edges.","2026-06-25","","none","passed",""
"CLI-038","CLI setup","Expand modules","README.md; docs/modules.md; binaries/cli/src/command/expand.rs; libraries/core/src/descriptor/expand.rs","As a developer, I want to expand module references into flat YAML so I can inspect the dataflow Dora will run.","`dora expand <PATH>` and `dora expand --module <PATH>` resolve nested modules, ports, params, and working directories into deterministic YAML.","tested-pass","passed","`cargo run --quiet -p dora-cli -- expand examples/module-dataflow/dataflow.yml` passed and emitted flat nodes `sender`, `pipeline.doubler`, `pipeline.filter`, and `receiver` with no `modules:` block.","2026-06-25","","none","passed",""
"CLI-039","CLI setup","Validate dataflow or node manifest","README.md; docs/types.md; binaries/cli/src/command/validate.rs; libraries/core/src/descriptor/validate.rs","As a developer, I want `dora validate` to catch descriptor and type errors before runtime.","`dora validate <PATH>` checks YAML schema and type annotations, `--strict-types` escalates warnings, `--node-manifest` validates hub manifests, and incompatible flags are rejected.","tested-pass","passed","`cargo run --quiet -p dora-cli -- validate examples/rust-dataflow/dataflow.yml`, `... examples/multiple-daemons/dataflow.yml`, and `... validate --strict-types examples/typed-dataflow/dataflow.yml` passed. `... validate --strict-types tests/fixtures/type-mismatch.yml` exited nonzero with the expected type mismatch warning.","2026-06-25","","none","passed","`--node-manifest` was also exercised by the Hub init smoke test for `CLI-051`."
"CLI-040","CLI utility","Generate shell completions","README.md; binaries/cli/src/command/completion.rs","As a CLI user, I want shell completions so command names, flags, and values are discoverable in my shell.","`dora completion <SHELL>` prints a valid completion script for supported shells without needing a running coordinator.","tested-pass","passed","`cargo run --quiet -p dora-cli -- completion bash` passed and emitted a 4349-line Bash completion script beginning with `_dora()` and ending with `complete -F _dora ... dora`.","2026-06-25","","none","passed",""
"CLI-041","CLI utility","Self update","README.md; binaries/cli/src/command/self_.rs","As a CLI user, I want `dora self update` to check for and install newer Dora CLI releases safely.","`dora self update` supports check-only behavior and should not mutate the binary during check-only runs.","tested-pass","passed","`DORA_QA_CLI_BIN=target/debug/dora scripts/qa/ci-nightly-jobs.sh topic-and-top-smoke` passed with escalation; the helper asserts `dora self update --check-only` enters the update-check path and returns a recognized latest/update/rate-limit outcome without installing.","2026-06-25","Requires network metadata access for the update check, so the smoke was run outside the sandbox.","none","passed",""
"CLI-042","CLI cluster","Bring up cluster","README.md; docs/distributed-deployment.md; binaries/cli/src/command/cluster/up.rs","As an operator, I want `dora cluster up <cluster.yml>` to start Dora services across machines so distributed dataflows can run.","`dora cluster up` parses machine config, uses SSH, applies labels and Zenoh peer options, and reports per-machine failures.","bypassed","bypassed-external","`cargo test -p dora-cli command::cluster::` passed 20 cluster tests covering config parsing plus local `cluster up` remote daemon command construction for machine ID, coordinator address/port, daemon listen port, Zenoh peer, labels, quiet flag, and log redirection. `cargo test -p dora-cli cluster_` also passed parser coverage for `dora cluster up cluster.yml` and missing-config rejection. Full SSH behavior still requires an SSH-capable cluster or CI fixture; coverage matrix identifies nightly cluster e2e.","2026-06-25","Full cluster up behavior was not rerun because this host has no SSH/systemd cluster fixture.","test-coverage-added","bypassed-external","External infrastructure bypass approved by user on 2026-06-25; no further local validation required for this audit."
